location,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Relative Humidity,Wind Speed,Wind Direction,Cloud Cover Total
unit,°C,mm,%,km/h,°,%
level,2 m elevation corrected,sfc,2 m,10 m,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m],Basel Cloud Cover Total
20240104T0800,8.350245,0.0,78.74465,17.673029,236.63364,70.0
20240104T0900,8.480246,0.0,82.25587,18.775303,237.52881,69.0
20240104T1000,8.730246,0.2,81.09537,17.208603,232.65065,70.0
20240104T1100,9.210245,0.2,78.71801,18.723461,232.0284,89.0
20240104T1200,9.740245,0.0,77.76958,19.386593,238.67131,65.0
20240104T1300,9.940246,0.2,76.03872,16.179987,237.72437,38.0
20240104T1400,9.890245,0.1,74.14545,12.88981,234.09029,36.0
20240104T1500,9.380245,0.0,75.78089,9.220499,231.3402,28.800001
20240104T1600,7.3902454,0.0,82.79874,6.9247384,207.89728,27.6
20240104T1700,8.090245,0.0,79.87262,5.771239,176.42366,29.1
20240104T1800,5.480245,0.0,90.58234,4.896529,162.89728,30.000002
20240104T1900,5.1202455,0.0,92.62564,5.8048253,150.25511,29.1
20240104T2000,4.7602453,0.0,93.589226,6.6087217,150.64224,29.7
20240104T2100,4.2402453,0.0,95.70598,6.6087217,150.64224,29.400002
20240104T2200,3.9602456,0.0,95.42036,6.297428,149.03624,65.0
20240104T2300,4.0502453,0.0,95.76462,8.373386,154.53665,63.0
20240105T0000,4.150245,0.0,95.90553,7.9036193,149.93141,56.0
20240105T0100,4.3302455,0.0,95.37175,7.4128532,150.94539,70.0
20240105T0200,4.380245,0.0,94.29815,7.24486,153.43495,30.0
20240105T0300,4.4402456,0.0,93.104416,6.763786,154.79887,27.000002
20240105T0400,4.770245,0.0,91.68544,6.439876,153.43495,45.0
20240105T0500,5.0502453,0.0,90.67364,6.439876,153.43495,61.0
20240105T0600,5.5602455,0.0,88.68788,6.9527545,158.7495,59.0
20240105T0700,5.8902454,0.0,88.84601,6.763786,154.79887,76.0
20240105T0800,5.8902454,0.0,90.68127,6.12,151.9275,92.0
20240105T0900,6.5902452,0.1,90.10664,6.151683,159.44395,99.0
20240105T1000,6.900245,0.2,91.337685,6.87779,173.991,91.0
20240105T1100,7.4302454,0.2,91.37885,6.849467,183.01279,98.0
